ROI,site,y_mean,y_var,yhat_mean,yhat_var,MSLL,EV,SMSE,RMSE,Rho
lh_MeanThickness_thickness,cam,[2.53522049],[0.01210073],[2.54203947],[0.00874319],-38.828689222197994,0.3706142526880748,0.6332283724479503,0.08753583595417845,0.6430133508103889
lh_MeanThickness_thickness,hcp,[2.61323973],[0.00726951],[2.61621402],[0.00036482],-65.78597682303625,-0.03334921027147453,1.0345661283425003,0.08672246941769221,0.037577146282355506
lh_MeanThickness_thickness,ixi,[2.55099138],[0.02363408],[2.54658714],[0.00705529],-18.84272848773726,0.27060340940611904,0.7302173247072445,0.13136976241898077,0.5208225869052112
rh_MeanThickness_thickness,cam,[2.5260113],[0.01163688],[2.5352053],[0.00894166],-40.434470536976264,0.33931561622081063,0.6679483272341836,0.08816369207489862,0.6318346387141871
rh_MeanThickness_thickness,hcp,[2.64218099],[0.00829374],[2.64708548],[0.00043708],-57.37533086559303,-0.02333637211170214,1.0262366326543504,0.092256941573325,0.06395522514685306
rh_MeanThickness_thickness,ixi,[2.54746724],[0.02185906],[2.53991416],[0.00704987],-20.63253824289049,0.35694143423144853,0.6456684260537381,0.11880111329767985,0.5982141349785921
lh_bankssts_thickness,cam,[2.58050407],[0.02558032],[2.57347562],[0.00800468],-17.31015988394813,0.18770194734993162,0.8142291859101507,0.14431991919835316,0.4474698748665825
lh_bankssts_thickness,hcp,[2.67746188],[0.01985646],[2.67655219],[0.00043927],-22.714448222849615,0.008367726669919251,0.9916739495738313,0.14032511491151517,0.10249722227101674
lh_bankssts_thickness,ixi,[2.60641379],[0.05085554],[2.62554756],[0.00628145],-7.830612449832985,0.16142697904956216,0.8457718624772689,0.20739378274778097,0.4053838572014424
lh_caudalanteriorcingulate_thickness,cam,[2.67393496],[0.04923694],[2.67298114],[0.00245783],-8.155674186471296,0.014338299552294376,0.9856801779022896,0.22029951124332048,0.14379980009783289
lh_caudalanteriorcingulate_thickness,hcp,[2.68750673],[0.02664899],[2.68539295],[0.00059277],-16.387546102157334,-0.017040919348942918,1.0172085817035643,0.1646438147819487,0.01744203905295634
lh_caudalanteriorcingulate_thickness,ixi,[2.74941379],[0.06443114],[2.74229572],[0.00303478],-5.901086271449385,0.06838310035055106,0.9324032730679042,0.245103661749616,0.2660584336272132
lh_superiorfrontal_thickness,cam,[2.75241463],[0.02734504],[2.756204],[0.0149309],-16.233401053269194,0.39247092280878526,0.6080541918896897,0.1289467559554339,0.635032152339954
lh_superiorfrontal_thickness,hcp,[2.84463677],[0.01481933],[2.84097752],[0.00116217],-31.103110542084927,-0.046534722051864374,1.0474382798938005,0.12458867591912004,0.056934809039678
lh_superiorfrontal_thickness,ixi,[2.81199138],[0.04608135],[2.80480728],[0.01226427],-8.76267772012855,0.1908381717623181,0.8102818333589802,0.19323271849124052,0.44290533523354475
rh_superiorfrontal_thickness,cam,[2.7112439],[0.02224108],[2.72787639],[0.01312734],-20.271519404637473,0.3391766355908572,0.6732615993589017,0.12236855900312932,0.6048742307894928
rh_superiorfrontal_thickness,hcp,[2.87252915],[0.01735937],[2.87387948],[0.00108566],-26.265601794600602,-0.021153895963572422,1.0212589339376668,0.13314808271798625,0.08274629214892584
rh_superiorfrontal_thickness,ixi,[2.78627586],[0.0427897],[2.78685865],[0.01055817],-9.65427346729264,0.2549208310012552,0.7450871063993829,0.17855546359466834,0.5049639050952404
